ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
32,1882,0.081698142,0.11470137,0.22785041,0.1933714,0.21179739,0.30559754,0,0,0.0,0.0,0.0,,,,0.20158279,-0.0062539289,-0.04092174,0.01689841,,,,
32,1883,0.033003226,0.14615226,0.11167325,0.13009924,0.22389941,0.24001367,0,0,0.0,0.0,0.0,0.0,,,0.081698142,0.20158279,-0.0062539289,-0.04092174,,,,
32,1884,0.11314904,0.078670025,0.097096011,0.19089618,0.20701045,0.099582538,0,0,0.0,0.0,0.0,0.0,0.0,,0.033003226,0.081698142,0.20158279,-0.0062539289,,,,
32,1885,-0.034479011,-0.016053028,0.077747144,0.093861416,-0.013566494,-0.072381914,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11314904,0.033003226,0.081698142,0.20158279,,,,
32,1886,0.018425982,0.11222616,0.12834042,0.020912513,-0.037902903,0.11975348,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034479011,0.11314904,0.033003226,0.081698142,,,,
32,1887,0.093800172,0.10991444,0.0024865344,-0.056328882,0.10132751,0.1377755,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018425982,-0.034479011,0.11314904,0.033003226,,,,
32,1888,0.01611427,-0.091313638,-0.15012905,0.0075273365,0.043975323,0.1634441,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.093800172,0.018425982,-0.034479011,0.11314904,,,,
32,1889,-0.10742791,-0.16624333,-0.0085869431,0.027861044,0.14732981,0.22774263,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.01611427,0.093800172,0.018425982,-0.034479011,,,,
32,1890,-0.058815416,0.098840967,0.13528895,0.25475773,0.33517057,0.39492413,0,0,0.0,0.0,0.0,0.0,1.0,0.0,-0.10742791,0.01611427,0.093800172,0.018425982,,,,
32,1891,0.15765639,0.19410437,0.31357315,0.39398599,0.45373955,0.21450233,0,1,0.0,0.0,0.0,0.0,0.0,1.0,-0.058815416,-0.10742791,0.01611427,0.093800172,,,,
32,1892,0.036447987,0.15591675,0.23632957,0.29608312,0.056845903,0.1089536,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.15765639,-0.058815416,-0.10742791,0.01611427,,,,
32,1893,0.11946877,0.19988158,0.25963515,0.020397931,0.072505631,0.20490155,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.036447987,0.15765639,-0.058815416,-0.10742791,,,,
32,1894,0.08041282,0.14016637,-0.099070847,-0.046963148,0.08543276,-0.080818333,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.11946877,0.036447987,0.15765639,-0.058815416,,,,
32,1895,0.059753556,-0.17948367,-0.12737596,0.0050199479,-0.16123115,-0.15949352,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08041282,0.11946877,0.036447987,0.15765639,,,,
32,1896,-0.23923722,-0.18712953,-0.054733619,-0.22098471,-0.21924709,-0.27750906,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.059753556,0.08041282,0.11946877,0.036447987,,,,
32,1897,0.052107699,0.18450361,0.018252522,0.019990142,-0.038271822,0.05814191,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23923722,0.059753556,0.08041282,0.11946877,,,,
