app,var,n,mean,sd,min,p50,max
RR,CRISIS,1584,0.7146464646464646,1.9535057172951569,0.0,0.0,14.0
RR,f0LNGDP,1728,1296.6185728988207,156.73975222677473,861.2838092286125,1280.016479749504,1662.922959164296
RR_UNEMP,CRISIS,1584,0.7146464646464646,1.9535057172951569,0.0,0.0,14.0
RR_UNEMP,f0UNEMP,1518,7.4304453664957935,4.048834586355213,0.207246990965,6.96666666667,27.7
BVX,R_B,3317,0.06722942417847452,0.2504566627784068,0.0,0.0,1.0
BVX,R_N,3317,0.07114862827856497,0.2571117083230027,0.0,0.0,1.0
BVX,Fd1y,3317,0.03326679333637416,0.042576134327048654,-0.26483399,0.034274288,0.2556372
MSV,L0HHD_L1GDP,910,50.168149871813185,28.690049726688112,0.20080322,48.716703499999994,147.93349
MSV,L0NFD_L1GDP,900,82.34896947077779,33.44927585931937,8.1128607,79.275215,234.62341
MSV,F1y,881,2824.195320658343,238.95414953297467,2453.4363,2781.3342,3550.1948
CS,CRISIS,5398,0.2578732864023712,0.4375044159925149,0.0,0.0,1.0
CS,cf1GRRT_WB,5812,7.490213678557923,11.386814908189917,-81.300173099131,7.75588339926394,151.8764285502801
