h,outcome,beta,se,lo,hi
1,cf1GRRT_WB,,,,
2,cf2GRRT_WB,3.0726676288871575,0.2517202757524504,2.579295888412355,3.56603936936196
3,cf3GRRT_WB,3.1526868692108665,0.24270908266523483,2.676977067187006,3.628396671234727
4,cf4GRRT_WB,3.315778268007577,0.23997474764329502,2.8454277626267186,3.7861287733884352
5,cf5GRRT_WB,3.3721739766762258,0.22011191784948225,2.9407546176912405,3.803593335661211
6,cf6GRRT_WB,3.3533197056769573,0.23406332062262503,2.894555597256612,3.8120838140973023
7,cf7GRRT_WB,3.4899679847202902,0.2312615085273423,3.0366954280066993,3.943240541433881
8,cf8GRRT_WB,3.3646314657798793,0.2423670106839508,2.8895921248393357,3.839670806720423
9,cf9GRRT_WB,3.3007020964227185,0.20458738183649366,2.899710828023191,3.701693364822246
10,cf10GRRT_WB,3.215096406474175,0.23331016701657772,2.7578084791216826,3.6723843338266677
