h,outcome,beta,se,lo,hi
1,cf1GRRT_WB,-2.588948357954141,0.32374053905574623,-3.2234798145034036,-1.9544169014048782
2,cf2GRRT_WB,-3.384914897632219,0.45142827750131087,-4.269714321534789,-2.50011547372965
3,cf3GRRT_WB,-4.202263361829012,0.5459640304602525,-5.2723528615311075,-3.1321738621269173
4,cf4GRRT_WB,-4.543467566477674,0.6369429566526589,-5.791875761516886,-3.295059371438463
5,cf5GRRT_WB,-4.580893048093387,0.6948737267473214,-5.942845552518136,-3.2189405436686367
6,cf6GRRT_WB,-5.134319349997094,0.7250261246760578,-6.555370554362167,-3.713268145632021
7,cf7GRRT_WB,-4.719690285100985,0.7343659040707784,-6.159047457079711,-3.2803331131222597
8,cf8GRRT_WB,-4.612537247785937,0.7549816168510941,-6.092301216814081,-3.132773278757793
9,cf9GRRT_WB,-4.311073966829269,0.780844344530484,-5.841528882109017,-2.78061905154952
10,cf10GRRT_WB,-4.506567303988432,0.8403503754723969,-6.15365403991433,-2.8594805680625344
