h,outcome,beta,se,lo,hi
1,cf1GRRT_WB,-3.7366338860543236,0.32374053905574635,-4.371165342603586,-3.1021024295050608
2,cf2GRRT_WB,-3.422536004364437,0.451428277501311,-4.307335428267006,-2.5377365804618672
3,cf3GRRT_WB,-4.094361245305205,0.5459640304602524,-5.164450745007299,-3.02427174560311
4,cf4GRRT_WB,-5.923358284232143,0.6369429566526591,-7.171766479271355,-4.674950089192931
5,cf5GRRT_WB,-4.968398735889782,0.6948737267473213,-6.330351240314531,-3.606446231465032
6,cf6GRRT_WB,-4.353257704330071,0.7250261246760576,-5.774308908695144,-2.932206499964998
7,cf7GRRT_WB,-4.45852379179338,0.7343659040707785,-5.8978809637721055,-3.019166619814654
8,cf8GRRT_WB,-3.876824812815686,0.7549816168510941,-5.35658878184383,-2.397060843787542
9,cf9GRRT_WB,-4.773899483999532,0.780844344530484,-6.304354399279281,-3.2434445687197835
10,cf10GRRT_WB,-5.519437036565847,0.840350375472397,-7.166523772491745,-3.8723503006399493
