h,outcome,beta,se,lo,hi
1,cf1GRRT_WB,-2.61928996488869,0.33838210774858996,-3.2825188960759264,-1.9560610337014537
2,cf2GRRT_WB,-3.4883558771026077,0.4744991446581908,-4.418374200632662,-2.558337553572554
3,cf3GRRT_WB,-4.787605110262037,0.6060176027773542,-5.975399611705651,-3.599810608818423
4,cf4GRRT_WB,-5.484683090185934,0.7137422489574745,-6.8836178981425835,-4.085748282229284
5,cf5GRRT_WB,-6.088340285463952,0.7783824947833047,-7.613969975239229,-4.562710595688674
6,cf6GRRT_WB,-7.092022173064607,0.8255423555902704,-8.710085190021537,-5.473959156107677
7,cf7GRRT_WB,-7.396198412680886,0.8340563579668498,-9.030948874295913,-5.76144795106586
8,cf8GRRT_WB,-7.7472358604246665,0.8763329259763061,-9.464848395338226,-6.029623325511107
9,cf9GRRT_WB,-7.613270727242443,0.9402119300067384,-9.45608611005565,-5.7704553444292355
10,cf10GRRT_WB,-7.892619587950866,1.0338561650457219,-9.91897767144048,-5.866261504461251
