h,outcome,beta,se,lo,hi
1,F1y,,,,
2,F2y,-0.013775878159699861,0.00952194004515615,-0.032438880648205916,0.004887124328806192
3,F3y,-0.016505318901761625,0.009864965248594489,-0.03584065078900682,0.002830012985483573
4,F4y,-0.016768825334837482,0.010114045909967704,-0.03659235531837418,0.0030547046486992177
5,F5y,-0.01565098227418163,0.010062518054690602,-0.03537351766137521,0.004071553113011949
6,F6y,-0.014207876792061511,0.010318045570763646,-0.03443124611075826,0.006015492526635236
7,F7y,-0.012522257702696904,0.010411096933993084,-0.03292800769332335,0.007883492287929542
8,F8y,-0.010097773114680117,0.010454480355147578,-0.03058855461076937,0.010393008381409136
9,F9y,-0.009820562293295873,0.010967702891870304,-0.03131725996136167,0.011676135374769922
10,F10y,-0.00786667965600564,0.011187658130407866,-0.029794489591605057,0.014061130279593777
