h,outcome,beta,se,lo,hi
1,F1y,0.21037069620605664,0.08187699762570898,0.049891780859667056,0.3708496115524462
2,F2y,0.2581637244742891,0.12398773079557557,0.015147772114960989,0.5011796768336172
3,F3y,0.2186805958084556,0.16451826622625149,-0.10377520599499729,0.5411363976119086
4,F4y,0.02049809064778888,0.1919123860401866,-0.3556501859909768,0.3966463672865546
5,F5y,-0.15652871556891193,0.19248904084813312,-0.5338072356312529,0.22074980449342899
6,F6y,-0.3103160185156729,0.1930873350825069,-0.6887671952773864,0.06813515824604055
7,F7y,-0.3870785517214023,0.18434628037998296,-0.7483972612661689,-0.02575984217663574
8,F8y,-0.3331623793945377,0.16898991254871276,-0.6643826079900147,-0.0019421507990606823
9,F9y,-0.207835256906095,0.16060015877482095,-0.5226115681047441,0.10694105429255407
10,F10y,-0.28390379963786694,0.17913114291756346,-0.6350008397562914,0.06719324048055747
