h,outcome,beta,se,lo,hi
1,F1y,0.40191875832390545,0.08187699762570531,0.24143984297752302,0.5623976736702878
2,F2y,0.5800014294942762,0.12398773079557487,0.33698547713494953,0.823017381853603
3,F3y,0.69018960198167,0.16451826622625315,0.36773380017821383,1.0126454037851262
4,F4y,0.6232284277433953,0.1919123860401906,0.24708015110462173,0.9993767043821689
5,F5y,0.06280071804798226,0.1924890408481332,-0.3144778020143588,0.44007923811032335
6,F6y,-0.29131908149360475,0.19308733508250456,-0.6697702582553137,0.08713209526810417
7,F7y,-0.4388360395972033,0.18434628037999043,-0.8001547491419845,-0.07751733005242206
8,F8y,-0.642673674203617,0.16898991254871895,-0.9738939027991061,-0.3114534456081278
9,F9y,-0.44967333345921023,0.1606001587748348,-0.7644496446578865,-0.13489702226053402
10,F10y,-0.4906206849458221,0.17913114291756982,-0.8417177250642589,-0.13952364482738527
