h,outcome,beta,se,lo,hi
1,F1y,0.20274772263459365,0.09138571994878018,0.0236317115349845,0.3818637337342028
2,F2y,0.25404408425043845,0.1370450645568307,-0.014564242280949713,0.5226524107818267
3,F3y,0.2052582817238708,0.17917826568943257,-0.14593111902741704,0.5564476824751586
4,F4y,0.013651018813231025,0.2077605368259498,-0.3935596333656306,0.4208616709920926
5,F5y,-0.19164094730769882,0.2039000722333254,-0.5912850888850165,0.20800319426961894
6,F6y,-0.4094384351189383,0.21998926281975537,-0.8406173902456588,0.021740520007782205
7,F7y,-0.5576984938495485,0.22020845469075123,-0.9893070650434209,-0.1260899226556761
8,F8y,-0.4900431777682181,0.2196807705173782,-0.9206174879822793,-0.05946886755415687
9,F9y,-0.42782782860311525,0.23241980294852213,-0.8833706423822186,0.02771498517598814
10,F10y,-0.5553020153087391,0.263770072780301,-1.0722913579581292,-0.03831267265934912
