h,outcome,beta,se,lo,hi
0,f0LNGDP,-0.0,0.0,-0.0,0.0
1,f1LNGDP,-0.020914616857372195,0.04112280178116735,-0.10151530834846019,0.059686074633715794
2,f2LNGDP,0.03780784258835679,0.08624009878120739,-0.1312227510228097,0.20683843619952327
3,f3LNGDP,0.1340507151155824,0.12810314778687912,-0.11703145454670069,0.38513288477786545
4,f4LNGDP,0.25123446570757724,0.16592363719795852,-0.07397586320042149,0.576444794615576
5,f5LNGDP,0.3668757353079262,0.20021161735084836,-0.025539034699736562,0.759290505315589
6,f6LNGDP,0.4792101383113265,0.23058639936441538,0.027260795557072337,0.9311594810655806
7,f7LNGDP,0.5884565445023959,0.2592440892990267,0.08033812947630359,1.0965749595284882
8,f8LNGDP,0.7395804893968464,0.2876548812867775,0.17577692207476248,1.3033840567189303
9,f9LNGDP,0.9026889501847545,0.311305971392785,0.29252924625489596,1.5128486541146131
10,f10LNGDP,1.085667108078835,0.323047427063462,0.45249415103444945,1.7188400651232203
