h,outcome,beta,se,lo,hi
0,f0LNGDP,-0.29310467686810765,0.07934890307872175,-0.4486285269024023,-0.13758082683381304
1,f1LNGDP,-0.39170051950600177,0.1268676314249497,-0.6403610770989032,-0.14303996191310037
2,f2LNGDP,-0.4388801178963323,0.1434784415355073,-0.7200978633059265,-0.15766237248673803
3,f3LNGDP,-0.5678001080375374,0.16947190549683214,-0.8999650428113284,-0.23563517326374644
4,f4LNGDP,-0.6202325896986568,0.21553412589339166,-1.0426794764497045,-0.19778570294760917
5,f5LNGDP,-0.6249765464191924,0.22296725516653484,-1.0619923665456006,-0.18796072629278415
6,f6LNGDP,-0.6777130713875498,0.2259761202832123,-1.120626267142646,-0.2347998756324537
7,f7LNGDP,-0.7760240034999673,0.2379348652376805,-1.242376339365821,-0.30967166763411347
8,f8LNGDP,-0.7083039608907751,0.25774077376108256,-1.2134758774624967,-0.2031320443190533
9,f9LNGDP,-0.6010579395118231,0.2751883167581696,-1.1404270403578356,-0.06168883866581065
10,f10LNGDP,-0.5591572374877487,0.286082219162433,-1.1198783870461173,0.0015639120706198995
