h,outcome,beta,se,lo,hi
0,f0LNGDP,-0.4293429126669227,0.07934890307872601,-0.5848667627012256,-0.27381906263261974
1,f1LNGDP,-0.567450603110443,0.1268676314249479,-0.8161111607033409,-0.3187900455175452
2,f2LNGDP,-0.2477372671840892,0.14347844153550254,-0.5289550125936742,0.0334804782254958
3,f3LNGDP,-0.07289179953520702,0.16947190549682772,-0.40505673430898936,0.2592731352385753
4,f4LNGDP,0.07647643348480129,0.21553412589338852,-0.3459704532662402,0.49892332023584274
5,f5LNGDP,0.23904721799298465,0.2229672551665308,-0.1979686021334157,0.676063038119385
6,f6LNGDP,0.4403465053852046,0.22597612028320935,-0.0025666903698857158,0.883259701140295
7,f7LNGDP,0.5533385332809713,0.2379348652376787,0.08698619741512104,1.0196908691468214
8,f8LNGDP,0.8722510977718115,0.25774077376108145,0.36707918120009186,1.377423014343531
9,f9LNGDP,0.8361157410086085,0.2751883167581727,0.2967466401625901,1.375484841854627
10,f10LNGDP,1.0937457508682435,0.2860822191624334,0.5330246013098741,1.654466900426613
