h,outcome,beta,se,lo,hi
0,f0LNGDP,-0.309751680486323,0.08435456662588496,-0.47508663107305754,-0.14441672989958848
1,f1LNGDP,-0.42009263060401403,0.13699244164985722,-0.6885978162377342,-0.15158744497029392
2,f2LNGDP,-0.4698446861260315,0.16730446152488704,-0.79776143071481,-0.1419279415372529
3,f3LNGDP,-0.647331068655231,0.2126970040216679,-1.0642171965377,-0.23044494077276195
4,f4LNGDP,-0.7379552969994188,0.2632914798698083,-1.254006597544243,-0.22190399645459458
5,f5LNGDP,-0.7434702978207262,0.28001287652606993,-1.292295535811823,-0.1946450598296291
6,f6LNGDP,-0.7903455864338156,0.2908092855387827,-1.3603317860898296,-0.22035938677780142
7,f7LNGDP,-0.8977932733781449,0.297685875031196,-1.4812575884392891,-0.3143289583170007
8,f8LNGDP,-0.8636896509437959,0.322999608620398,-1.496768883839776,-0.2306104180478158
9,f9LNGDP,-0.721648644102594,0.34699217046406183,-1.4017532982121552,-0.04154398999303277
10,f10LNGDP,-0.7154322689345111,0.3598456051913201,-1.4207296551094983,-0.010134882759523678
