h,outcome,beta,se,lo,hi
0,f0UNEMP,-0.0,0.0,-0.0,0.0
1,f1UNEMP,0.10070184411993278,0.022771221032771315,0.05607025089570101,0.14533343734416457
2,f2UNEMP,0.15911467901130497,0.04166345278006584,0.07745431156237592,0.240775046460234
3,f3UNEMP,0.18523479041742139,0.05714396211082592,0.07323262468020258,0.2972369561546402
4,f4UNEMP,0.18983470285045959,0.06981651042568325,0.052994342416120416,0.3266750632847988
5,f5UNEMP,0.18289316963646382,0.07990686350470212,0.026275717167247664,0.33951062210567995
6,f6UNEMP,0.17243013613754798,0.08736323716969968,0.0011981912849366172,0.3436620809901594
7,f7UNEMP,0.1855933935544211,0.10323954857585307,-0.016756121654250944,0.3879429087630931
8,f8UNEMP,0.18544274893593649,0.11461941669235665,-0.03921130778108253,0.4100968056529555
9,f9UNEMP,0.16944826282915468,0.11771373782099989,-0.06127066330000511,0.4001671889583145
10,f10UNEMP,0.13792975488430062,0.11139295286525563,-0.08040043273160041,0.35625994250020165
