h,outcome,beta,se,lo,hi
0,f0UNEMP,0.06417721195439698,0.015560141323158309,0.033679334961006696,0.09467508894778726
1,f1UNEMP,0.15439122625398166,0.028888194496384873,0.09777036504106731,0.211012087466896
2,f2UNEMP,0.20371563478522958,0.036492760171999636,0.13218982484811032,0.27524144472234885
3,f3UNEMP,0.24714585983065554,0.047985953949989495,0.15309339008867612,0.34119832957263496
4,f4UNEMP,0.29273427554510173,0.06634802492978153,0.1626921466827299,0.42277640440747355
5,f5UNEMP,0.2988404669178492,0.07854325111383802,0.14489569473472672,0.4527852391009717
6,f6UNEMP,0.3011301539690277,0.07670662845849473,0.15078516219037805,0.45147514574767733
7,f7UNEMP,0.3039962828175608,0.069055657789542,0.1686471935500585,0.4393453720850631
8,f8UNEMP,0.2788693704444592,0.07045893082122759,0.14076986603485311,0.4169688748540653
9,f9UNEMP,0.24885170203619428,0.07093493853783246,0.10981922250204265,0.3878841815703459
10,f10UNEMP,0.19211846208806668,0.06576626599628431,0.06321658073534944,0.3210203434407839
