h,outcome,beta,se,lo,hi
0,f0UNEMP,0.07899382298377343,0.015560141323158312,0.048495945990383135,0.10949169997716372
1,f1UNEMP,0.1840913858729743,0.028888194496384835,0.12747052466006004,0.24071224708588856
2,f2UNEMP,0.2537551801272941,0.03649276017199963,0.18222937019017482,0.32528099006441336
3,f3UNEMP,0.2635405705403603,0.04798595394998944,0.169488100798381,0.35759304028233957
4,f4UNEMP,0.3059011355352218,0.06634802492978162,0.17585900667284984,0.4359432643975938
5,f5UNEMP,0.20787391015163087,0.07854325111383809,0.053929137968508234,0.3618186823347535
6,f6UNEMP,0.09097505770928274,0.07670662845849464,-0.05936993406936675,0.24132004948793223
7,f7UNEMP,0.09179077594384981,0.06905565778954206,-0.043558313323652634,0.22713986521135227
8,f8UNEMP,0.029477971975571046,0.07045893082122758,-0.10862153243403501,0.16757747638517712
9,f9UNEMP,0.03078869172721116,0.07093493853783249,-0.10824378780694052,0.16982117126136284
10,f10UNEMP,-0.07073291059071181,0.06576626599628421,-0.19963479194342887,0.05816897076200524
