h,outcome,beta,se,lo,hi
0,f0UNEMP,0.05661359806357248,0.018879242006369725,0.01961028373108782,0.09361691239605714
1,f1UNEMP,0.15355307723541192,0.037632470635569626,0.07979343478969546,0.22731271968112837
2,f2UNEMP,0.21367775724466032,0.05152643019903152,0.11268595405455854,0.3146695604347621
3,f3UNEMP,0.2650046407083799,0.07311426526131783,0.12170068079619697,0.40830860062056284
4,f4UNEMP,0.33153201546902866,0.09799315129714756,0.13946543892661944,0.5235985920114379
5,f5UNEMP,0.35291575579216794,0.11471830041022608,0.12806788698812482,0.577763624596211
6,f6UNEMP,0.36147269350234207,0.11175683083517798,0.14242930506539322,0.5805160819392909
7,f7UNEMP,0.3759866388928763,0.09754435998263854,0.1847996933269048,0.5671735844588478
8,f8UNEMP,0.3487977509806074,0.08167083874511985,0.1887229070401725,0.5088725949210423
9,f9UNEMP,0.3224989287151089,0.07348720453006127,0.1784640078361888,0.466533849594029
10,f10UNEMP,0.23715587772862137,0.06136089381696881,0.1168885258473625,0.35742322960988027
