est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,het_rho,het_beta
CDOLS,0,0.0001133516851914,0.0358657593317412,0.0282090664319492,0.94,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,1,-0.0826063284718238,0.0926919929108582,0.0833251509398057,0.5366666666666666,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,2,-0.1114779158626168,0.1199242270829639,0.1115593733092582,0.34,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,3,-0.1226050775189267,0.1331101425827316,0.1227526788849223,0.3266666666666666,0.9966666666666668,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,4,-0.1286403343645857,0.1402262567583565,0.1292517044277417,0.35,0.99,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,5,-0.1328478264839885,0.1462505444628886,0.1338627178580201,0.3633333333333333,0.9733333333333334,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,6,-0.1330395261791817,0.1479412415066127,0.1335010632185474,0.42,0.9466666666666668,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,7,-0.1380665883422967,0.1538082267723834,0.1387358332799709,0.44,0.92,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,8,-0.1404260283345356,0.1571238746982326,0.1408645376920691,0.41,0.8566666666666667,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,9,-0.1386607493259669,0.158989382511395,0.1403804287868776,0.4833333333333333,0.81,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
CDOLS,10,-0.13879235274656,0.157930354955029,0.1406326560654956,0.4866666666666667,0.7966666666666666,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,0,-0.0020487198496911,0.0199814475542139,0.0156112463330966,0.93,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,1,-0.0756485078488126,0.0847275960494792,0.0760171985890852,0.2333333333333333,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,2,-0.0782248090463203,0.0913380810221906,0.0793949775274266,0.3233333333333333,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,3,-0.0647153010130426,0.0847571303826977,0.0695325367111307,0.46,0.9966666666666668,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,4,-0.0470675429395153,0.0762967145199147,0.0590476547177337,0.6066666666666667,0.9633333333333334,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,5,-0.0292106547452341,0.0679860333996915,0.0518873399110108,0.6933333333333334,0.84,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,6,-0.013047280685655,0.0603568471513505,0.0464083741776261,0.7266666666666667,0.7033333333333334,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,7,4.98149188348052e-05,0.0586154393133571,0.0461977041253539,0.73,0.5533333333333333,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,8,0.013354432460924,0.0591898097841452,0.0475849996822504,0.7133333333333334,0.43,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,9,0.0265706422705053,0.0606562929364363,0.0492181244781932,0.6766666666666666,0.3066666666666666,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
DB,10,0.0352925897073525,0.0630331053858519,0.0508175342602825,0.6566666666666666,0.2466666666666666,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
FE,0,-0.0020487198496911,0.0199814475542139,0.0156112463330966,0.93,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
FE,1,-0.0459758193754,0.0592279164506742,0.0494126996558646,0.55,1.0,300,hetrho_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,1,0
