est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.004108377632473335,0.038364632363710856,0.02982569182883677,0.9866666666666667,1.0,300
CDOLS,1,-0.01686224476752821,0.04387049082385705,0.035134999568781,0.9566666666666667,1.0,300
CDOLS,2,-0.02807437846596218,0.049709079647675486,0.04007288122689971,0.8966666666666666,0.9866666666666667,300
CDOLS,3,-0.03543626311389821,0.05637345112751089,0.04634907928234377,0.8766666666666667,0.7233333333333334,300
CDOLS,4,-0.03480910551692133,0.05658119353852064,0.046114882795120465,0.8566666666666667,0.38333333333333336,300
CDOLS,5,-0.03754876823519408,0.057311270992930374,0.046282612981926124,0.86,0.24333333333333335,300
CDOLS,6,-0.03536913297707179,0.05814383053129223,0.04690720230168111,0.87,0.16333333333333333,300
CDOLS,7,-0.04033100512657921,0.06303798504710877,0.05083749898216446,0.8566666666666667,0.16,300
CDOLS,8,-0.039110358586803014,0.06122150869527518,0.05038296590125006,0.9,0.10333333333333333,300
CDOLS,9,-0.03914433979311436,0.06668513205715455,0.05471923762152586,0.8733333333333333,0.12666666666666668,300
CDOLS,10,-0.0381117805239248,0.0662026395865927,0.054321021193253834,0.8533333333333334,0.15,300
DB,0,0.0026904924941259303,0.028678775412606283,0.022905878688959207,0.9133333333333333,1.0,300
DB,1,0.0055442043498043405,0.030408836449527247,0.023760664612336786,0.9233333333333333,1.0,300
DB,2,0.008129346765811592,0.033255478880587115,0.025968878609338882,0.8966666666666666,0.99,300
DB,3,0.009556449431535725,0.03590288825559649,0.029123234959174647,0.9,0.5766666666666667,300
DB,4,0.013339159676426696,0.037077793725772135,0.02990762357192155,0.91,0.15666666666666668,300
DB,5,0.013850045431423597,0.03511697191724472,0.02801394487132389,0.9166666666666666,0.05,300
DB,6,0.01487948515470535,0.037112151546222154,0.029645817445488075,0.9033333333333333,0.08,300
DB,7,0.0118413193771613,0.036627551334965376,0.02930542139077596,0.93,0.05333333333333334,300
DB,8,0.013210294044251501,0.0384585381022919,0.031178519795285922,0.9,0.09666666666666666,300
DB,9,0.014455583499120335,0.04159402315146073,0.033631017351369856,0.9033333333333333,0.09333333333333334,300
DB,10,0.013966773642360751,0.04698911039524871,0.03736470328035211,0.8533333333333334,0.14666666666666667,300
FE,0,0.0026904924941259303,0.028678775412606283,0.022905878688959207,0.9133333333333333,1.0,300
FE,1,0.03369021758805212,0.04447676232773906,0.03669906437616347,0.78,1.0,300
FE,2,0.04908098502381728,0.058272212124843854,0.05074569069321271,0.66,0.9066666666666666,300
FE,3,0.05615257195127413,0.06567296155973794,0.05763303151090094,0.53,0.12333333333333334,300
FE,4,0.062141512941445556,0.071004247150335,0.06315033463416622,0.4633333333333333,0.14666666666666667,300
FE,5,0.06310199640497002,0.07087029562409057,0.06395860749333512,0.49,0.31,300
FE,6,0.06356243147152033,0.07224496811444002,0.06465694796022291,0.4766666666666667,0.4,300
FE,7,0.05923036003240547,0.06898548351116657,0.06083726450560754,0.56,0.39,300
FE,8,0.05865575790442861,0.06928754156825495,0.06023087933025193,0.55,0.42,300
FE,9,0.05726424630974771,0.06963738512204619,0.05944765424647987,0.56,0.4266666666666667,300
FE,10,0.05332318853105938,0.07004345194655148,0.05926185065489753,0.6333333333333333,0.36,300
HPJ,0,0.005282244544770776,0.1343033654256242,0.1061619911143052,0.2833333333333333,1.0,300
HPJ,1,0.03777084391844148,0.10566997990940798,0.08490587936444673,0.4,0.9833333333333333,300
HPJ,2,0.05581153266495767,0.10221567573691624,0.08329854934634806,0.4,0.69,300
HPJ,3,0.0626034894948597,0.10997746783445299,0.09036598881257672,0.37333333333333335,0.49666666666666665,300
HPJ,4,0.06007121491647762,0.11413848677107463,0.0900823699390272,0.42333333333333334,0.5466666666666666,300
HPJ,5,0.06650787073803216,0.12050757949667362,0.09516047915942624,0.4266666666666667,0.54,300
HPJ,6,0.07318019627821987,0.13132927484723622,0.10397156803841916,0.39666666666666667,0.6066666666666667,300
HPJ,7,0.06303494043085399,0.11539327125437908,0.09178035839194619,0.39,0.6,300
HPJ,8,0.06207324670362731,0.11904352902375881,0.09685571375770176,0.39666666666666667,0.5933333333333334,300
HPJ,9,0.049837791266761605,0.12040035174097471,0.09538542070897585,0.43666666666666665,0.5666666666666667,300
HPJ,10,0.04685204320700742,0.1203400685015548,0.09640009483443608,0.42,0.58,300
SPJ,0,0.003695956402838283,0.03005982437793156,0.024314298271162587,0.93,1.0,300
SPJ,1,0.00019967819249105622,0.0312761982004964,0.02461581491771497,0.9566666666666667,1.0,300
SPJ,2,0.0009286818508997336,0.035452263373198054,0.02809835791285199,0.93,0.99,300
SPJ,3,0.004036340942312827,0.03857682552998434,0.03130691674467242,0.9266666666666666,0.5333333333333333,300
SPJ,4,0.013130428586522932,0.04155993222797005,0.03358494308825854,0.9066666666666666,0.12,300
SPJ,5,0.021013577964335346,0.042345653049254105,0.033945702245474996,0.8933333333333333,0.043333333333333335,300
SPJ,6,0.031543970814275485,0.04946856316253634,0.03979492758643724,0.8766666666666667,0.10333333333333333,300
SPJ,7,0.04236227731027427,0.05716277164369947,0.04768600712082341,0.8266666666666667,0.13333333333333333,300
SPJ,8,0.05851163450833627,0.07177281075282278,0.06092339353275326,0.71,0.2733333333333333,300
SPJ,9,0.07681706365515423,0.08893044626536982,0.07776316349902186,0.5133333333333333,0.47333333333333333,300
SPJ,10,0.08981742535717116,0.1034328435627777,0.09136057498124713,0.42333333333333334,0.55,300
