est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.0021289801462579037,0.02035885522851964,0.016223603423812995,0.9433333333333334,1.0,300
CDOLS,1,-0.07061615956325938,0.07805289852523405,0.07145028283968574,0.11,1.0,300
CDOLS,2,-0.10391688257059684,0.10942444845620693,0.10391688257059684,0.016666666666666666,1.0,300
CDOLS,3,-0.12015516929333282,0.12532312603005316,0.12015516929333282,0.0,1.0,300
CDOLS,4,-0.13168810553008,0.13679343252488246,0.13168810553008,0.0,1.0,300
CDOLS,5,-0.1401497726894061,0.14529644463039781,0.1401497726894061,0.0,1.0,300
CDOLS,6,-0.1471970713285376,0.1523927767262094,0.1471970713285376,0.0,1.0,300
CDOLS,7,-0.1524971767512655,0.15774033539142543,0.1524971767512655,0.0,1.0,300
CDOLS,8,-0.1579339971024691,0.1635499019840591,0.1579339971024691,0.0,1.0,300
CDOLS,9,-0.15902171822316957,0.16499600953920168,0.15902171822316957,0.0,1.0,300
CDOLS,10,-0.16550691660523703,0.1714132022568594,0.16550691660523703,0.0,1.0,300
DB,0,1.3174266259335192e-05,0.0026728163765938964,0.0020644808034510835,0.84,1.0,300
DB,1,-0.15112914894343965,0.1518205078333894,0.15112914894343965,0.0,1.0,300
DB,2,-0.19424490536960037,0.1952426093482133,0.19424490536960037,0.0,1.0,300
DB,3,-0.21029561828660898,0.21166515064844907,0.21029561828660898,0.0,1.0,300
DB,4,-0.21598601641406834,0.21781078474390533,0.21598601641406834,0.0,1.0,300
DB,5,-0.2165322756119213,0.21887494249519399,0.2165322756119213,0.0,1.0,300
DB,6,-0.21417741072459753,0.21709584983805869,0.21417741072459753,0.0,1.0,300
DB,7,-0.20979094934721002,0.21346489425551823,0.20979094934721002,0.0,1.0,300
DB,8,-0.20413569727553102,0.20856117461051643,0.20413569727553102,0.0,1.0,300
DB,9,-0.1976300670935406,0.20281651160866357,0.1976300670935406,0.0,1.0,300
DB,10,-0.1909376804520484,0.19708938631346493,0.1909376804520484,0.0,1.0,300
FE,0,1.3174266259335192e-05,0.0026728163765938964,0.0020644808034510835,0.84,1.0,300
FE,1,-0.1413965823943145,0.14212730147774338,0.1413965823943145,0.0,1.0,300
FE,2,-0.1755350161661045,0.17661198543458076,0.1755350161661045,0.0,1.0,300
FE,3,-0.18330811032572453,0.18481903322322052,0.18330811032572453,0.0,1.0,300
FE,4,-0.18136996334412497,0.18342920433093085,0.18136996334412497,0.0,1.0,300
FE,5,-0.17489062113662956,0.17759936320471822,0.17489062113662956,0.0,1.0,300
FE,6,-0.1660710979533946,0.1695439941687586,0.1660710979533946,0.0,1.0,300
FE,7,-0.15574271420524458,0.16025294176387075,0.15574271420524458,0.0,1.0,300
FE,8,-0.14463355785533402,0.15025234769689566,0.14463355785533402,0.0,1.0,300
FE,9,-0.13313053801303362,0.13996248858639504,0.13313053801303362,0.006666666666666667,1.0,300
FE,10,-0.12186873875059673,0.13030690144956322,0.12186873875059673,0.02,1.0,300
HPJ,0,-8.614694293446523e-05,0.008337017624968924,0.006700451660217905,0.3433333333333333,1.0,300
HPJ,1,-0.14208482374296968,0.1436580347891566,0.14208482374296968,0.0,1.0,300
HPJ,2,-0.17653373916934473,0.17891590162005136,0.17653373916934473,0.0,1.0,300
HPJ,3,-0.18456729642566727,0.1879835183539588,0.18456729642566727,0.0,1.0,300
HPJ,4,-0.18320573863967377,0.18780185490857462,0.18320573863967377,0.0,1.0,300
HPJ,5,-0.17745207953165673,0.1834730088104032,0.17745207953165673,0.0,1.0,300
HPJ,6,-0.1691691307810296,0.17673819516004674,0.1691691307810296,0.0,1.0,300
HPJ,7,-0.15892265695900545,0.16864057116525424,0.15892265695900545,0.0,1.0,300
HPJ,8,-0.14847720464457967,0.16036496082289511,0.14849693426809224,0.02,1.0,300
HPJ,9,-0.13723049410311297,0.15157134156478116,0.1376841567360007,0.03666666666666667,1.0,300
HPJ,10,-0.12632326990857617,0.14344050070502165,0.12755231755538776,0.06333333333333334,1.0,300
SPJ,0,-0.0001255300193170857,0.0028515681509127676,0.0022154182984808093,0.96,1.0,300
SPJ,1,-0.18254475222244906,0.18350863114893645,0.18254475222244906,0.0,1.0,300
SPJ,2,-0.24009124703671375,0.24160348948023408,0.24009124703671375,0.0,1.0,300
SPJ,3,-0.2659888285858243,0.268105133430365,0.2659888285858243,0.0,1.0,300
SPJ,4,-0.27860967112243046,0.2813833724328741,0.27860967112243046,0.0,1.0,300
SPJ,5,-0.28464543679597043,0.288109734433429,0.28464543679597043,0.0,1.0,300
SPJ,6,-0.28668942214069454,0.29096935191925466,0.28668942214069454,0.0,1.0,300
SPJ,7,-0.285698370671166,0.2908428439045279,0.285698370671166,0.0,1.0,300
SPJ,8,-0.28272156971155926,0.2889172958646157,0.28272156971155926,0.0,1.0,300
SPJ,9,-0.2782871460054707,0.28560189679594117,0.2782871460054707,0.0,1.0,300
SPJ,10,-0.2725912182948959,0.28116654292348864,0.2725912182948959,0.0,1.0,300
