est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,-0.00026866521992494654,0.009808930857509095,0.007778087107793789,0.95,1.0,300
CDOLS,1,-0.018248193816452495,0.021436619813055745,0.01882890807164245,0.5433333333333333,1.0,300
CDOLS,2,-0.0310571269659549,0.0330986265893375,0.031084151839475525,0.21666666666666667,1.0,300
CDOLS,3,-0.041968735379228884,0.04347508927099903,0.041968735379228884,0.056666666666666664,1.0,300
CDOLS,4,-0.05138169923681428,0.052818474523922965,0.05138169923681428,0.006666666666666667,1.0,300
CDOLS,5,-0.05920735163880554,0.0604893761601124,0.05920735163880554,0.0033333333333333335,1.0,300
CDOLS,6,-0.0644810520193225,0.06570625321866458,0.0644810520193225,0.0,1.0,300
CDOLS,7,-0.06849399735164541,0.06968237263616835,0.06849399735164541,0.0,1.0,300
CDOLS,8,-0.07282106724697644,0.07387864331692917,0.07282106724697644,0.0,1.0,300
CDOLS,9,-0.07518086040117349,0.07630494800929896,0.07518086040117349,0.0,1.0,300
CDOLS,10,-0.07770984829753624,0.07889761195423037,0.07770984829753624,0.0033333333333333335,1.0,300
DB,0,-0.00018496203689674973,0.004013489558229522,0.0031934492159148764,0.9733333333333334,1.0,300
DB,1,0.0012555521299334033,0.004821156775108293,0.0038493500311350846,0.9666666666666667,1.0,300
DB,2,0.0029208536756431865,0.0067757631649321415,0.005359934558697315,0.8766666666666667,1.0,300
DB,3,0.0040060178043894185,0.008585069341131249,0.006875824014439881,0.8233333333333334,1.0,300
DB,4,0.004817576283304558,0.00984174524823168,0.007904499325225979,0.7866666666666666,1.0,300
DB,5,0.0057145241775402285,0.010860006823898925,0.008848180211706759,0.69,1.0,300
DB,6,0.006790037224852595,0.012082920270984846,0.009858501443195259,0.6766666666666666,1.0,300
DB,7,0.007540624972027518,0.0127839134181265,0.010538573241935835,0.6566666666666666,1.0,300
DB,8,0.007961093240343619,0.013106132626695424,0.01072540658852192,0.63,1.0,300
DB,9,0.008619414659756344,0.013904565315304646,0.011055176337261408,0.6266666666666667,1.0,300
DB,10,0.008918975781625812,0.014079853063686257,0.011246371648672534,0.6466666666666666,1.0,300
FE,0,-0.00018496203689674973,0.004013489558229522,0.0031934492159148764,0.9733333333333334,1.0,300
FE,1,0.011589579630459767,0.012469592905688042,0.011635383464633381,0.36666666666666664,1.0,300
FE,2,0.021388528390653597,0.02221870326364154,0.021388528390653597,0.04,1.0,300
FE,3,0.028871019070319325,0.029815977177985873,0.028871019070319325,0.0033333333333333335,1.0,300
FE,4,0.03470883135589811,0.03570773273159768,0.03470883135589811,0.0,1.0,300
FE,5,0.03954842041265274,0.040558622751869444,0.03954842041265274,0.0,1.0,300
FE,6,0.0437091749931504,0.044778244709092536,0.0437091749931504,0.0,1.0,300
FE,7,0.0468655852618832,0.047931802197518955,0.0468655852618832,0.0,1.0,300
FE,8,0.049152446376954935,0.05018957334580794,0.049152446376954935,0.0,1.0,300
FE,9,0.05124778821687188,0.05234689005103872,0.05124778821687188,0.0,0.94,300
FE,10,0.0526414650011657,0.05371254244364974,0.0526414650011657,0.0,0.49666666666666665,300
HPJ,0,-0.00018068512793144255,0.011643365175465626,0.009392506748574263,0.5333333333333333,1.0,300
HPJ,1,0.011340685444497907,0.017578307963352448,0.014410912040242566,0.38,1.0,300
HPJ,2,0.02131879173806893,0.027712935914559502,0.023031452101285092,0.24666666666666667,1.0,300
HPJ,3,0.02745298325839484,0.034230287844080894,0.028911261479370835,0.22333333333333333,1.0,300
HPJ,4,0.03181054471163609,0.03914647274554475,0.033213694298784166,0.19333333333333333,1.0,300
HPJ,5,0.036467559005507626,0.04451176775449557,0.037941302502492474,0.16666666666666666,1.0,300
HPJ,6,0.040424397043191396,0.04854765628625073,0.04222585019545898,0.12666666666666668,1.0,300
HPJ,7,0.043536374471735924,0.05189633748183972,0.04526741131425778,0.13666666666666666,0.9966666666666667,300
HPJ,8,0.04538442767431866,0.05350471279686102,0.046835722186427745,0.1,0.9533333333333334,300
HPJ,9,0.04853315706839292,0.05572594955682949,0.04936404771378832,0.1,0.83,300
HPJ,10,0.05037911201691773,0.05704752154573709,0.05095776144193966,0.08,0.6466666666666666,300
SPJ,0,-0.00018407085348105275,0.0042167332656550816,0.0034188409161281185,0.9833333333333333,1.0,300
SPJ,1,-0.0006394712443190366,0.005093059766204748,0.004081703764122738,0.9733333333333334,1.0,300
SPJ,2,-0.00047727758475180906,0.0068291446926850964,0.0054787677540941845,0.9333333333333333,1.0,300
SPJ,3,-0.00044069004181300703,0.008522609742358503,0.0067576760030710874,0.8566666666666667,1.0,300
SPJ,4,-0.00024810306719410803,0.0098244352972461,0.007883824767082133,0.8133333333333334,1.0,300
SPJ,5,0.0003610289766532046,0.010827645489500678,0.008808257544930122,0.8166666666666667,1.0,300
SPJ,6,0.0014444472536955329,0.011894914834890179,0.009776071504923455,0.7733333333333333,1.0,300
SPJ,7,0.002477567354697146,0.012640379631713215,0.010352457083034033,0.76,1.0,300
SPJ,8,0.003501236482875891,0.013103932451877291,0.01063380565092691,0.76,1.0,300
SPJ,9,0.004978619266088382,0.014151404303492326,0.011464105029673623,0.71,1.0,300
SPJ,10,0.006361256434222692,0.014740613056498934,0.011657554049712597,0.7133333333333334,0.9966666666666667,300
