est,h,bias,rmse,mae,coverage,rej_rate,n
CDOLS,0,0.00012722880920154812,0.014380866999467645,0.011488759936717585,0.9333333333333333,0.06666666666666667,450
CDOLS,1,0.000545875065943066,0.01392273470228432,0.011100979503458376,0.9533333333333334,0.04666666666666667,450
CDOLS,2,-0.00023896470758531563,0.0140751732070904,0.011271747377501298,0.9555555555555556,0.044444444444444446,450
CDOLS,3,8.849148109694949e-05,0.012981191843467162,0.010475845825867566,0.9666666666666667,0.03333333333333333,450
CDOLS,4,0.0002461439519963208,0.014218391584363927,0.011682807678186437,0.9644444444444444,0.035555555555555556,450
CDOLS,5,0.0005975876208575277,0.014469554585266694,0.011650255757751946,0.9555555555555556,0.044444444444444446,450
CDOLS,6,-0.0009821846963096563,0.01462592345260004,0.01142938106601555,0.9422222222222222,0.057777777777777775,450
CDOLS,7,-0.0008373310092761269,0.014410884324740001,0.011553906171228262,0.9644444444444444,0.035555555555555556,450
CDOLS,8,0.0005814282400056232,0.014909306754137725,0.01174358540201651,0.9377777777777778,0.06222222222222222,450
CDOLS,9,0.0004122509119135656,0.015376410086956553,0.012656372579702672,0.96,0.04,450
CDOLS,10,-0.00026606254742969106,0.015243831363910821,0.011972022585232002,0.9488888888888889,0.051111111111111114,450
DB,0,0.00022667383857849664,0.010151545102879848,0.008173462843030317,0.9488888888888889,0.051111111111111114,450
DB,1,0.0005553936180711194,0.010459240203668584,0.00830368971500089,0.9222222222222223,0.07777777777777778,450
DB,2,-7.49674450838429e-06,0.010557524487457531,0.008304029731573582,0.9222222222222223,0.07777777777777778,450
DB,3,0.00016583407464603044,0.010304005648640202,0.008208969776311359,0.9466666666666667,0.05333333333333334,450
DB,4,0.0002756972104355077,0.01005664952871646,0.008054137187594321,0.9577777777777777,0.042222222222222223,450
DB,5,0.00029442795345632284,0.010993344151625563,0.008776885333177267,0.9422222222222222,0.057777777777777775,450
DB,6,-0.0011039982627091102,0.010221562105175023,0.00829955594785372,0.9533333333333334,0.04666666666666667,450
