est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode
CDOLS,0,-0.0014896101255292,0.074506349982712,0.0601062675127678,0.9222222222222224,1.0,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,1,-0.0222694365457098,0.0806572254497678,0.0658590573427621,0.9377777777777778,0.9866666666666668,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,2,-0.0373842642114238,0.092287122974437,0.0735576735635779,0.9111111111111112,0.6155555555555555,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,3,-0.0360921560088138,0.0940059461859904,0.0760803965318722,0.9111111111111112,0.3022222222222222,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,4,-0.0383811030354528,0.0989562142217415,0.0791143912326669,0.9066666666666666,0.1688888888888889,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,5,-0.0416257189268642,0.1070704990818018,0.0852090416436121,0.8888888888888888,0.16,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
CDOLS,6,-0.0420468912534335,0.1071220936690949,0.0846071731670128,0.8911111111111111,0.1222222222222222,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,0,-0.0014252432233904,0.0472294532881454,0.0372816576506954,0.9111111111111112,1.0,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,1,0.009217722333083,0.0578608047188181,0.0460243494915976,0.92,0.9977777777777778,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,2,0.0160371883729415,0.0674719542894822,0.053313295826136,0.8888888888888888,0.66,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,3,0.0258909082961358,0.068276064595207,0.0537011643174007,0.8866666666666667,0.1666666666666666,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,4,0.0259776636296703,0.0700157208412586,0.0563432232109459,0.8977777777777778,0.0911111111111111,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,5,0.0261865101984027,0.0755208182672826,0.0610155040553897,0.8688888888888889,0.1,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
DB,6,0.0263787990214702,0.0765604186943842,0.0614773307760032,0.8644444444444445,0.1177777777777777,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,0,-0.0014252432233904,0.0472294532881454,0.0372816576506954,0.9111111111111112,1.0,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,1,0.0498214100848403,0.0745361382848658,0.0607783073328858,0.8244444444444444,0.9911111111111112,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,2,0.0737380401690935,0.0973579299579163,0.0803892723900217,0.7066666666666667,0.3111111111111111,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,3,0.0901026430261942,0.1091069906306519,0.0930206071918199,0.6577777777777778,0.0911111111111111,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,4,0.0914445440744856,0.1122188496425484,0.0956363446402694,0.6511111111111111,0.1777777777777777,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
FE,5,0.0897202583496911,0.1146594527952427,0.0967886368825904,0.6466666666666666,0.2822222222222222,450,power_power_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,power
