cell,N,T,rho,sig_lam,est,D_I,bias_hmean,coverage_hmean,rmse_hmean,grade
main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,CDOLS,0.025912453863744345,-0.024377371913660517,0.6084848484848485,0.030021988577345594,poor
main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,DB,0.009399480870484365,0.00044207742135008343,0.9424242424242423,0.011769029368801283,good
main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,FE,0.011829636642856427,0.008212876007282408,0.8754545454545455,0.014633358909905574,moderate
main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,HPJ,0.026564473673557798,0.00927054451272991,0.5096969696969696,0.03337360839921594,poor
main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,SPJ,0.009581293963242282,0.0010641614048020635,0.9460606060606058,0.012018258423504714,good
main_N100_T100_rho0.2_xsd1,100,100,0.2,1.0,CDOLS,0.027282339184693093,-0.011952196539003417,0.56,0.03431594174479132,poor
main_N100_T100_rho0.2_xsd1,100,100,0.2,1.0,DB,0.025479763933485874,0.00023159229234573632,0.879090909090909,0.032127239802542625,moderate
main_N100_T100_rho0.2_xsd1,100,100,0.2,1.0,FE,0.026286007726962202,0.008004956809667218,0.8675757575757573,0.033060026996395896,moderate
main_N100_T100_rho0.2_xsd1,100,100,0.2,1.0,HPJ,0.035183723587120276,0.007574333911763137,0.7793939393939393,0.045507224269275795,poor
main_N100_T100_rho0.2_xsd1,100,100,0.2,1.0,SPJ,0.026661698510157903,0.0009935917167389547,0.8745454545454545,0.03368668929626236,moderate
main_N100_T100_rho0.5_xsd0,100,100,0.5,0.0,CDOLS,0.0352150308898273,-0.034080179203621726,0.40939393939393937,0.0396095119362026,poor
main_N100_T100_rho0.5_xsd0,100,100,0.5,0.0,DB,0.009337838434465865,0.0013398774230358728,0.922121212121212,0.01170378242973427,good
main_N100_T100_rho0.5_xsd0,100,100,0.5,0.0,FE,0.016977871368946833,0.015495354220737665,0.6578787878787878,0.02020879071343538,poor
main_N100_T100_rho0.5_xsd0,100,100,0.5,0.0,HPJ,0.02891651127930238,0.016844504414897148,0.42818181818181816,0.03626942483231956,poor
main_N100_T100_rho0.5_xsd0,100,100,0.5,0.0,SPJ,0.00984731861210488,0.0017723603130865545,0.922727272727273,0.012361497236403746,good
main_N100_T100_rho0.5_xsd1,100,100,0.5,1.0,CDOLS,0.03118458423500702,-0.017265640335613338,0.5124242424242424,0.03919523661653054,poor
main_N100_T100_rho0.5_xsd1,100,100,0.5,1.0,DB,0.02908100229425753,0.0012338534342019062,0.8296969696969696,0.037070246325519675,poor
main_N100_T100_rho0.5_xsd1,100,100,0.5,1.0,FE,0.03165446675508226,0.015439127956987708,0.7972727272727272,0.04021476688342612,poor
main_N100_T100_rho0.5_xsd1,100,100,0.5,1.0,HPJ,0.038949140693839555,0.015041637456787044,0.7190909090909091,0.04945724632025987,poor
main_N100_T100_rho0.5_xsd1,100,100,0.5,1.0,SPJ,0.03202566190432868,0.0018159364104966,0.8206060606060605,0.04129436174110401,poor
main_N100_T100_rho0.8_xsd0,100,100,0.8,0.0,CDOLS,0.05232983553591781,-0.0511887260932878,0.2548484848484848,0.059078805161938884,poor
main_N100_T100_rho0.8_xsd0,100,100,0.8,0.0,DB,0.0107987820970088,0.005681040578882073,0.7881818181818182,0.013971233788216667,poor
main_N100_T100_rho0.8_xsd0,100,100,0.8,0.0,FE,0.035337739534250116,0.03486189033831724,0.20393939393939384,0.04053367706491159,poor
main_N100_T100_rho0.8_xsd0,100,100,0.8,0.0,HPJ,0.04193238141364431,0.03658417791330951,0.24818181818181817,0.05276819151827304,poor
main_N100_T100_rho0.8_xsd0,100,100,0.8,0.0,SPJ,0.01159463850485279,0.0019166050081757188,0.8169696969696969,0.015041925120722294,poor
main_N100_T100_rho0.8_xsd1,100,100,0.8,1.0,CDOLS,0.04144876418530834,-0.02815112364268697,0.44212121212121214,0.05278698911022143,poor
main_N100_T100_rho0.8_xsd1,100,100,0.8,1.0,DB,0.037533714245054445,0.008301179067883045,0.6987878787878787,0.049642525959208574,poor
main_N100_T100_rho0.8_xsd1,100,100,0.8,1.0,FE,0.04874718950785672,0.037638998382623086,0.5593939393939393,0.06308087809874882,poor
main_N100_T100_rho0.8_xsd1,100,100,0.8,1.0,HPJ,0.05357992476553452,0.037429868098920765,0.5109090909090909,0.06933817332596728,poor
main_N100_T100_rho0.8_xsd1,100,100,0.8,1.0,SPJ,0.04457400245134366,0.0036059975113129543,0.69,0.06110737833329215,poor
main_N100_T100_rho0.95_xsd0,100,100,0.95,0.0,CDOLS,0.05248080980978089,-0.05106861323222723,0.3378787878787879,0.061810222689335385,poor
main_N100_T100_rho0.95_xsd0,100,100,0.95,0.0,DB,0.020196423630967856,0.019526694681635846,0.3981818181818181,0.026198701170837835,poor
main_N100_T100_rho0.95_xsd0,100,100,0.95,0.0,FE,0.05919334581238434,0.058919003651842355,0.09909090909090908,0.06946038899592019,poor
main_N100_T100_rho0.95_xsd0,100,100,0.95,0.0,HPJ,0.061573087531363695,0.05987008912163449,0.13030303030303028,0.07699348193267183,poor
main_N100_T100_rho0.95_xsd0,100,100,0.95,0.0,SPJ,0.013434716692890319,-0.002282280570892291,0.770909090909091,0.018257795482374883,poor
main_N100_T100_rho0.95_xsd1,100,100,0.95,1.0,CDOLS,0.05082391621576137,-0.03298612112320501,0.42696969696969683,0.06864348755538953,poor
main_N100_T100_rho0.95_xsd1,100,100,0.95,1.0,DB,0.04145644985246816,0.027862993102987555,0.5612121212121213,0.0568862228360179,poor
