N,T,rho,sig_lam,CDOLS,DB,FE,HPJ,SPJ
20,20,0.2,0.0,moderate,moderate,moderate,poor,moderate
20,20,0.2,1.0,poor,moderate,poor,poor,moderate
20,20,0.5,0.0,moderate,moderate,poor,poor,moderate
20,20,0.5,1.0,poor,poor,poor,poor,poor
20,20,0.8,0.0,moderate,poor,poor,poor,poor
20,20,0.8,1.0,poor,poor,poor,poor,poor
20,20,0.95,0.0,moderate,poor,poor,poor,poor
20,20,0.95,1.0,poor,poor,poor,poor,poor
20,50,0.2,0.0,moderate,good,moderate,poor,good
20,50,0.2,1.0,poor,moderate,moderate,poor,moderate
20,50,0.5,0.0,moderate,good,poor,poor,good
20,50,0.5,1.0,poor,moderate,poor,poor,poor
20,50,0.8,0.0,poor,poor,poor,poor,moderate
20,50,0.8,1.0,poor,poor,poor,poor,poor
20,50,0.95,0.0,poor,poor,poor,poor,poor
20,50,0.95,1.0,poor,poor,poor,poor,poor
20,100,0.2,0.0,moderate,good,good,poor,good
20,100,0.2,1.0,poor,moderate,moderate,poor,moderate
20,100,0.5,0.0,poor,good,moderate,poor,good
20,100,0.5,1.0,poor,moderate,poor,poor,moderate
20,100,0.8,0.0,poor,moderate,poor,poor,moderate
20,100,0.8,1.0,poor,poor,poor,poor,poor
20,100,0.95,0.0,poor,poor,poor,poor,moderate
20,100,0.95,1.0,poor,poor,poor,poor,poor
50,20,0.2,0.0,good,good,poor,poor,good
50,20,0.2,1.0,poor,poor,poor,poor,poor
50,20,0.5,0.0,moderate,moderate,poor,poor,poor
50,20,0.5,1.0,poor,poor,poor,poor,poor
50,20,0.8,0.0,moderate,poor,poor,poor,poor
50,20,0.8,1.0,poor,poor,poor,poor,poor
50,20,0.95,0.0,poor,poor,poor,poor,poor
50,20,0.95,1.0,poor,poor,poor,poor,poor
50,50,0.2,0.0,moderate,good,moderate,poor,good
50,50,0.2,1.0,poor,moderate,moderate,poor,moderate
50,50,0.5,0.0,poor,good,poor,poor,moderate
50,50,0.5,1.0,poor,poor,poor,poor,poor
50,50,0.8,0.0,poor,poor,poor,poor,poor
50,50,0.8,1.0,poor,poor,poor,poor,poor
50,50,0.95,0.0,poor,poor,poor,poor,poor
50,50,0.95,1.0,poor,poor,poor,poor,poor
50,100,0.2,0.0,poor,good,good,poor,good
50,100,0.2,1.0,poor,moderate,moderate,poor,moderate
50,100,0.5,0.0,poor,good,poor,poor,good
50,100,0.5,1.0,poor,moderate,poor,poor,moderate
50,100,0.8,0.0,poor,poor,poor,poor,moderate
50,100,0.8,1.0,poor,poor,poor,poor,poor
50,100,0.95,0.0,poor,poor,poor,poor,poor
50,100,0.95,1.0,poor,poor,poor,poor,poor
100,20,0.2,0.0,moderate,good,poor,poor,moderate
100,20,0.2,1.0,poor,poor,poor,poor,poor
100,20,0.5,0.0,moderate,poor,poor,poor,poor
100,20,0.5,1.0,poor,poor,poor,poor,poor
100,20,0.8,0.0,poor,poor,poor,poor,poor
100,20,0.8,1.0,poor,poor,poor,poor,poor
100,20,0.95,0.0,poor,poor,poor,poor,poor
100,20,0.95,1.0,poor,poor,poor,poor,poor
100,50,0.2,0.0,poor,good,poor,poor,good
100,50,0.2,1.0,poor,poor,poor,poor,poor
100,50,0.5,0.0,poor,good,poor,poor,moderate
100,50,0.5,1.0,poor,poor,poor,poor,poor
100,50,0.8,0.0,poor,poor,poor,poor,poor
100,50,0.8,1.0,poor,poor,poor,poor,poor
100,50,0.95,0.0,poor,poor,poor,poor,poor
100,50,0.95,1.0,poor,poor,poor,poor,poor
100,100,0.2,0.0,poor,good,moderate,poor,good
100,100,0.2,1.0,poor,moderate,moderate,poor,moderate
100,100,0.5,0.0,poor,good,poor,poor,good
100,100,0.5,1.0,poor,poor,poor,poor,poor
100,100,0.8,0.0,poor,poor,poor,poor,poor
100,100,0.8,1.0,poor,poor,poor,poor,poor
100,100,0.95,0.0,poor,poor,poor,poor,poor
100,100,0.95,1.0,poor,poor,poor,poor,poor
200,20,0.2,0.0,moderate,good,poor,poor,poor
200,20,0.2,1.0,poor,poor,poor,poor,poor
200,20,0.5,0.0,poor,poor,poor,poor,poor
200,20,0.5,1.0,poor,poor,poor,poor,poor
200,20,0.8,0.0,poor,poor,poor,poor,poor
200,20,0.8,1.0,poor,poor,poor,poor,poor
200,20,0.95,0.0,poor,poor,poor,poor,poor
200,20,0.95,1.0,poor,poor,poor,poor,poor
200,50,0.2,0.0,poor,good,poor,poor,good
200,50,0.2,1.0,poor,poor,poor,poor,poor
200,50,0.5,0.0,poor,good,poor,poor,moderate
200,50,0.5,1.0,poor,poor,poor,poor,poor
200,50,0.8,0.0,poor,poor,poor,poor,poor
200,50,0.8,1.0,poor,poor,poor,poor,poor
200,50,0.95,0.0,poor,poor,poor,poor,poor
200,50,0.95,1.0,poor,poor,poor,poor,poor
200,100,0.2,0.0,poor,good,poor,poor,good
200,100,0.2,1.0,poor,poor,poor,poor,poor
200,100,0.5,0.0,poor,good,poor,poor,good
200,100,0.5,1.0,poor,poor,poor,poor,poor
200,100,0.8,0.0,poor,poor,poor,poor,poor
200,100,0.8,1.0,poor,poor,poor,poor,poor
200,100,0.95,0.0,poor,poor,poor,poor,poor
200,100,0.95,1.0,poor,poor,poor,poor,poor
