shock,label,h,est,beta,se,t,lo,hi
GPR_c,"level (descriptive, time-FE collinear)",1,FE,-0.02023920201657305,0.007203829151847654,-2.809506109869645,-0.03435870715419445,-0.006119696878951647
GPR_c,"level (descriptive, time-FE collinear)",1,SPJ,-0.024156401224857484,0.0052751213971207744,-4.5793071678013595,-0.0344956391632142,-0.013817163286500766
GPR_c,"level (descriptive, time-FE collinear)",1,HPJ,0.04080834869326794,0.007203829151847654,5.664813508632602,0.026688843555646533,0.05492785383088934
GPR_c,"level (descriptive, time-FE collinear)",1,CDOLS,0.028830084727860746,0.0024178263352779765,11.923968362494556,0.024091145110715913,0.03356902434500558
GPR_c,"level (descriptive, time-FE collinear)",1,DB,-0.02023920201657305,0.007203829151847654,-2.809506109869645,-0.03435870715419445,-0.006119696878951647
GPR_c,"level (descriptive, time-FE collinear)",2,FE,-0.027292873244468364,0.010878659166229647,-2.5088453298723574,-0.04861504521027847,-0.005970701278658258
GPR_c,"level (descriptive, time-FE collinear)",2,SPJ,-0.04130070016350608,0.00840585078238187,-4.9133277799874495,-0.057776167696974544,-0.024825232630037615
GPR_c,"level (descriptive, time-FE collinear)",2,HPJ,0.06039170072756011,0.010878659166229647,5.551391932108009,0.03906952876175,0.08171387269337022
GPR_c,"level (descriptive, time-FE collinear)",2,CDOLS,0.028442624887285696,0.002151336215303712,13.220911117916707,0.02422600590529042,0.03265924386928097
GPR_c,"level (descriptive, time-FE collinear)",2,DB,-0.03596960649285178,0.010878659166229647,-3.306437488593387,-0.05729177845866189,-0.014647434527041675
GPR_c,"level (descriptive, time-FE collinear)",3,FE,-0.03278714513379997,0.012782945689176489,-2.5649131218292927,-0.05784171868458589,-0.007732571583014051
GPR_c,"level (descriptive, time-FE collinear)",3,SPJ,-0.05345087313202154,0.00989284128618843,-5.402985005596445,-0.07284084205295087,-0.034060904211092216
GPR_c,"level (descriptive, time-FE collinear)",3,HPJ,0.05532312417127952,0.012782945689176489,4.327885412055098,0.030268550620493603,0.08037769772206543
GPR_c,"level (descriptive, time-FE collinear)",3,CDOLS,0.028061664718753626,0.00217548396085436,12.899044637283007,0.02379771615547908,0.03232561328202817
GPR_c,"level (descriptive, time-FE collinear)",3,DB,-0.0452309628276316,0.012782945689176489,-3.53838339983947,-0.07028553637841752,-0.020176389276845685
GPR_x_exp,GPR x exposure (identified interaction),1,FE,0.029946298374205878,0.008649228151947911,3.4623087572804527,0.012993811196387973,0.046898785552023786
GPR_x_exp,GPR x exposure (identified interaction),1,SPJ,0.030218477379056807,0.006078844629039681,4.97108895244632,0.018303941906139033,0.042133012851974586
GPR_x_exp,GPR x exposure (identified interaction),1,HPJ,0.02068929919851026,0.008649228151947911,2.3920399410265043,0.0037368120206923566,0.03764178637632817
GPR_x_exp,GPR x exposure (identified interaction),1,CDOLS,0.004033487342468946,0.004146332265124266,0.9727843994547942,-0.004093323897174615,0.012160298582112507
GPR_x_exp,GPR x exposure (identified interaction),1,DB,0.029946298374205878,0.008649228151947911,3.4623087572804527,0.012993811196387973,0.046898785552023786
GPR_x_exp,GPR x exposure (identified interaction),2,FE,0.04352238207602991,0.011689900745628864,3.7230754155294243,0.020610176614597336,0.06643458753746248
GPR_x_exp,GPR x exposure (identified interaction),2,SPJ,0.05832603383733223,0.008978609052162882,6.496110199082776,0.04072796009509298,0.07592410757957148
