N,T,rho,sig_lam,lp_alloc,lp_obj,vertex_alloc,vertex_obj,agree
20.0,20.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.12856945404427741,DB,0.12856945404427741,True
20.0,20.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.2377007174615131,DB,0.2377007174615131,True
20.0,20.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.17591970536088497,DB,0.17591970536088497,True
20.0,20.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.31448451935150445,DB,0.31448451935150445,True
20.0,20.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.5155530816170958,SPJ,0.5155530816170958,True
20.0,20.0,0.8,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.6643870098885485,SPJ,0.6643870098885485,True
20.0,20.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.6147697412814676,SPJ,0.6147697412814676,True
20.0,20.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.7521808764787652,SPJ,0.7521808764787652,True
20.0,50.0,0.2,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.06974198595697309,SPJ,0.06974198595697309,True
20.0,50.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.19371121716129414,DB,0.19371121716129414,True
20.0,50.0,0.5,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.1049278512601442,SPJ,0.1049278512601442,True
20.0,50.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.2423867371264516,DB,0.2423867371264516,True
20.0,50.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.22354519683795246,SPJ,0.22354519683795246,True
20.0,50.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.4829806095045614,DB,0.4829806095045614,True
20.0,50.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.2981584695303068,SPJ,0.2981584695303068,True
20.0,50.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.6118552456572146,SPJ,0.6118552456572146,True
20.0,100.0,0.2,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.05935597186521939,SPJ,0.05935597186521939,True
20.0,100.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.17357741068084379,DB,0.17357741068084379,True
20.0,100.0,0.5,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.07398106254821135,SPJ,0.07398106254821135,True
20.0,100.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.20472158913992528,DB,0.20472158913992528,True
20.0,100.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.14085715014091393,SPJ,0.14085715014091393,True
20.0,100.0,0.8,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.2794816600182471,DB,0.2794816600182471,True
20.0,100.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.21394216843438787,SPJ,0.21394216843438787,True
20.0,100.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.270688934568446,SPJ,0.270688934568446,True
50.0,20.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.07138136723864506,DB,0.07138136723864506,True
50.0,20.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.4124340194260569,DB,0.4124340194260569,True
50.0,20.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.16616490105015697,DB,0.16616490105015697,True
50.0,20.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.5346326188126731,DB,0.5346326188126731,True
50.0,20.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.6641070397924949,SPJ,0.6641070397924949,True
50.0,20.0,0.8,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.9724647455039817,SPJ,0.9724647455039817,True
50.0,20.0,0.95,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=0.00 CDOLS=1.00,0.7858775489592662,CDOLS,0.7858775489592662,True
50.0,20.0,0.95,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,1.0054118643631147,SPJ,1.0054118643631147,True
50.0,50.0,0.2,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.048379491142222716,DB,0.048379491142222716,True
50.0,50.0,0.2,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.17347381124648809,DB,0.17347381124648809,True
50.0,50.0,0.5,0.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.09986880812628038,DB,0.09986880812628038,True
50.0,50.0,0.5,1.0,FE=0.00 SPJ=0.00 HPJ=0.00 DB=1.00 CDOLS=0.00,0.2514630060038646,DB,0.2514630060038646,True
50.0,50.0,0.8,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.3590800193433685,SPJ,0.3590800193433685,True
50.0,50.0,0.8,1.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.5766320434960418,SPJ,0.5766320434960418,True
50.0,50.0,0.95,0.0,FE=0.00 SPJ=1.00 HPJ=0.00 DB=0.00 CDOLS=0.00,0.43076600122299075,SPJ,0.43076600122299075,True
