N,T,rho,sig_lam,recommended,expected_loss
20.0,20.0,0.2,0.0,DB,0.12856945404427741
20.0,20.0,0.2,1.0,DB,0.2377007174615131
20.0,20.0,0.5,0.0,CDOLS,0.1645794571891454
20.0,20.0,0.5,1.0,DB,0.31448451935150445
20.0,20.0,0.8,0.0,CDOLS,0.19674880583548499
20.0,20.0,0.8,1.0,CDOLS,0.42874801606583895
20.0,20.0,0.95,0.0,CDOLS,0.20524946756400353
20.0,20.0,0.95,1.0,CDOLS,0.4699753936040423
20.0,50.0,0.2,0.0,SPJ,0.06974198595697309
20.0,50.0,0.2,1.0,DB,0.19371121716129414
20.0,50.0,0.5,0.0,SPJ,0.1049278512601442
20.0,50.0,0.5,1.0,DB,0.2423867371264516
20.0,50.0,0.8,0.0,SPJ,0.22354519683795246
20.0,50.0,0.8,1.0,DB,0.4829806095045614
20.0,50.0,0.95,0.0,SPJ,0.2981584695303068
20.0,50.0,0.95,1.0,CDOLS,0.5533930816157875
20.0,100.0,0.2,0.0,SPJ,0.05935597186521939
20.0,100.0,0.2,1.0,DB,0.17357741068084379
20.0,100.0,0.5,0.0,SPJ,0.07398106254821135
20.0,100.0,0.5,1.0,DB,0.20472158913992528
20.0,100.0,0.8,0.0,SPJ,0.14085715014091393
20.0,100.0,0.8,1.0,DB,0.2794816600182471
20.0,100.0,0.95,0.0,SPJ,0.21394216843438787
20.0,100.0,0.95,1.0,SPJ,0.270688934568446
50.0,20.0,0.2,0.0,DB,0.07138136723864506
50.0,20.0,0.2,1.0,DB,0.4124340194260569
50.0,20.0,0.5,0.0,DB,0.16616490105015697
50.0,20.0,0.5,1.0,DB,0.5346326188126731
50.0,20.0,0.8,0.0,CDOLS,0.2450078608164805
50.0,20.0,0.8,1.0,CDOLS,0.5969602148713014
50.0,20.0,0.95,0.0,CDOLS,0.2858775489592662
50.0,20.0,0.95,1.0,CDOLS,0.6209433071839612
50.0,50.0,0.2,0.0,DB,0.048379491142222716
50.0,50.0,0.2,1.0,DB,0.17347381124648809
50.0,50.0,0.5,0.0,DB,0.09986880812628038
50.0,50.0,0.5,1.0,DB,0.2514630060038646
50.0,50.0,0.8,0.0,SPJ,0.3590800193433685
50.0,50.0,0.8,1.0,SPJ,0.5766320434960418
50.0,50.0,0.95,0.0,SPJ,0.43076600122299075
50.0,50.0,0.95,1.0,SPJ,0.7031612867894891
50.0,100.0,0.2,0.0,SPJ,0.03336277741311458
50.0,100.0,0.2,1.0,DB,0.15329104979792293
50.0,100.0,0.5,0.0,DB,0.05521760564029839
50.0,100.0,0.5,1.0,DB,0.20017475756268377
50.0,100.0,0.8,0.0,DB,0.21478969872158435
50.0,100.0,0.8,1.0,DB,0.3865437617844113
50.0,100.0,0.95,0.0,SPJ,0.265018926382152
50.0,100.0,0.95,1.0,SPJ,0.48355126471229887
100.0,20.0,0.2,0.0,DB,0.06914548392535794
100.0,20.0,0.2,1.0,DB,0.5930080944627092
100.0,20.0,0.5,0.0,CDOLS,0.22511018498499155
100.0,20.0,0.5,1.0,DB,0.7153409893669185
100.0,20.0,0.8,0.0,CDOLS,0.36334204437948125
100.0,20.0,0.8,1.0,CDOLS,0.8009357648388844
100.0,20.0,0.95,0.0,CDOLS,0.4460971120112806
100.0,20.0,0.95,1.0,CDOLS,0.8299408583561481
100.0,50.0,0.2,0.0,DB,0.024581352671876458
100.0,50.0,0.2,1.0,DB,0.3426872322032881
100.0,50.0,0.5,0.0,DB,0.06776483138396264
100.0,50.0,0.5,1.0,DB,0.43931908719171875
100.0,50.0,0.8,0.0,SPJ,0.37741404841126563
100.0,50.0,0.8,1.0,DB,0.8045625267153248
100.0,50.0,0.95,0.0,SPJ,0.4788802192903345
100.0,50.0,0.95,1.0,SPJ,0.9457384011602425
100.0,100.0,0.2,0.0,SPJ,0.0174600818420301
100.0,100.0,0.2,1.0,DB,0.16729794575166773
100.0,100.0,0.5,0.0,SPJ,0.06439277315755934
100.0,100.0,0.5,1.0,DB,0.269687062900318
100.0,100.0,0.8,0.0,SPJ,0.2776552445654589
100.0,100.0,0.8,1.0,DB,0.5399579566692969
100.0,100.0,0.95,0.0,SPJ,0.37161653487470825
100.0,100.0,0.95,1.0,SPJ,0.7070434785475778
200.0,20.0,0.2,0.0,DB,0.0640561911536283
200.0,20.0,0.2,1.0,DB,0.8216356964511279
200.0,20.0,0.5,0.0,CDOLS,0.3424846898652291
200.0,20.0,0.5,1.0,CDOLS,0.9455946121452533
200.0,20.0,0.8,0.0,CDOLS,0.5760029148336083
200.0,20.0,0.8,1.0,CDOLS,1.0204991414176559
200.0,20.0,0.95,0.0,CDOLS,0.7067704186575869
200.0,20.0,0.95,1.0,CDOLS,1.0636253183545397
200.0,50.0,0.2,0.0,DB,0.028627603345440344
200.0,50.0,0.2,1.0,DB,0.6015106691948848
200.0,50.0,0.5,0.0,DB,0.09251080554963823
200.0,50.0,0.5,1.0,DB,0.7532122946914345
200.0,50.0,0.8,0.0,SPJ,0.497719500672938
200.0,50.0,0.8,1.0,DB,1.1066594796958478
200.0,50.0,0.95,0.0,SPJ,0.6361956525417225
200.0,50.0,0.95,1.0,SPJ,1.1458769900652281
200.0,100.0,0.2,0.0,DB,0.009516625038663375
200.0,100.0,0.2,1.0,DB,0.35819450788891816
200.0,100.0,0.5,0.0,DB,0.04527087180042956
200.0,100.0,0.5,1.0,DB,0.48626716191881336
200.0,100.0,0.8,0.0,SPJ,0.25487694521827553
200.0,100.0,0.8,1.0,DB,0.7965721869537631
200.0,100.0,0.95,0.0,SPJ,0.35536811354008657
200.0,100.0,0.95,1.0,SPJ,0.9797426418911662
