app,est,h,beta,se,lo,hi
RR,FE,0,-0.2931046768681076,0.0793489030787217,-0.4486285269024023,-0.137580826833813
RR,FE,1,-0.3917005195060017,0.1268676314249497,-0.6403610770989032,-0.1430399619131003
RR,FE,2,-0.4388801178963323,0.1434784415355073,-0.7200978633059265,-0.157662372486738
RR,FE,3,-0.5678001080375374,0.1694719054968321,-0.8999650428113284,-0.2356351732637464
RR,FE,4,-0.6202325896986568,0.2155341258933916,-1.0426794764497045,-0.1977857029476091
RR,FE,5,-0.6249765464191924,0.2229672551665348,-1.0619923665456006,-0.1879607262927841
RR,FE,6,-0.6777130713875498,0.2259761202832123,-1.120626267142646,-0.2347998756324537
RR,FE,7,-0.7760240034999673,0.2379348652376805,-1.242376339365821,-0.3096716676341134
RR,FE,8,-0.7083039608907751,0.2577407737610825,-1.2134758774624967,-0.2031320443190533
RR,FE,9,-0.6010579395118231,0.2751883167581696,-1.1404270403578356,-0.0616888386658106
RR,FE,10,-0.5591572374877487,0.286082219162433,-1.1198783870461173,0.0015639120706198
RR,SPJ,0,-0.309751680486323,0.0843545666258849,-0.4750866310730575,-0.1444167298995884
RR,SPJ,1,-0.420092630604014,0.1369924416498572,-0.6885978162377342,-0.1515874449702939
RR,SPJ,2,-0.4698446861260315,0.167304461524887,-0.79776143071481,-0.1419279415372529
RR,SPJ,3,-0.647331068655231,0.2126970040216679,-1.0642171965377,-0.2304449407727619
RR,SPJ,4,-0.7379552969994188,0.2632914798698083,-1.254006597544243,-0.2219039964545945
RR,SPJ,5,-0.7434702978207262,0.2800128765260699,-1.292295535811823,-0.1946450598296291
RR,SPJ,6,-0.7903455864338156,0.2908092855387827,-1.3603317860898296,-0.2203593867778014
RR,SPJ,7,-0.8977932733781449,0.297685875031196,-1.4812575884392891,-0.3143289583170007
RR,SPJ,8,-0.8636896509437959,0.322999608620398,-1.496768883839776,-0.2306104180478158
RR,SPJ,9,-0.721648644102594,0.3469921704640618,-1.4017532982121552,-0.0415439899930327
RR,SPJ,10,-0.7154322689345111,0.3598456051913201,-1.4207296551094983,-0.0101348827595236
RR,HPJ,0,-0.4293429126669227,0.079348903078726,-0.5848667627012256,-0.2738190626326197
RR,HPJ,1,-0.567450603110443,0.1268676314249479,-0.8161111607033409,-0.3187900455175452
RR,HPJ,2,-0.2477372671840892,0.1434784415355025,-0.5289550125936742,0.0334804782254958
RR,HPJ,3,-0.072891799535207,0.1694719054968277,-0.4050567343089893,0.2592731352385753
RR,HPJ,4,0.0764764334848012,0.2155341258933885,-0.3459704532662402,0.4989233202358427
RR,HPJ,5,0.2390472179929846,0.2229672551665308,-0.1979686021334157,0.676063038119385
RR,HPJ,6,0.4403465053852046,0.2259761202832093,-0.0025666903698857,0.883259701140295
RR,HPJ,7,0.5533385332809713,0.2379348652376787,0.086986197415121,1.0196908691468214
RR,HPJ,8,0.8722510977718115,0.2577407737610814,0.3670791812000918,1.377423014343531
RR,HPJ,9,0.8361157410086085,0.2751883167581727,0.2967466401625901,1.375484841854627
RR,HPJ,10,1.0937457508682435,0.2860822191624334,0.5330246013098741,1.654466900426613
RR,DB,0,-0.2931046768681076,0.0793489030787217,-0.4486285269024023,-0.137580826833813
RR,DB,1,-0.3917005195060017,0.1268676314249497,-0.6403610770989032,-0.1430399619131003
RR,DB,2,-0.4388801178963323,0.1434784415355073,-0.7200978633059265,-0.157662372486738
RR,DB,3,-0.5678001080375374,0.1694719054968321,-0.8999650428113284,-0.2356351732637464
RR,DB,4,-0.6202325896986568,0.2155341258933916,-1.0426794764497045,-0.1977857029476091
RR,DB,5,-0.6249765464191924,0.2229672551665348,-1.0619923665456006,-0.1879607262927841
RR,DB,6,-0.6777130713875498,0.2259761202832123,-1.120626267142646,-0.2347998756324537
RR,DB,7,-0.7760240034999673,0.2379348652376805,-1.242376339365821,-0.3096716676341134
RR,DB,8,-0.7083039608907751,0.2577407737610825,-1.2134758774624967,-0.2031320443190533
RR,DB,9,-0.6010579395118231,0.2751883167581696,-1.1404270403578356,-0.0616888386658106
RR,DB,10,-0.5591572374877487,0.286082219162433,-1.1198783870461173,0.0015639120706198
RR,CDOLS,0,-0.0,0.0,-0.0,0.0
RR,CDOLS,1,-0.0209146168573721,0.0411228017811673,-0.1015153083484601,0.0596860746337157
RR,CDOLS,2,0.0378078425883567,0.0862400987812073,-0.1312227510228097,0.2068384361995232
RR,CDOLS,3,0.1340507151155824,0.1281031477868791,-0.1170314545467006,0.3851328847778654
RR,CDOLS,4,0.2512344657075772,0.1659236371979585,-0.0739758632004214,0.576444794615576
RR,CDOLS,5,0.3668757353079262,0.2002116173508483,-0.0255390346997365,0.759290505315589
RR,CDOLS,6,0.4792101383113265,0.2305863993644153,0.0272607955570723,0.9311594810655806
RR,CDOLS,7,0.5884565445023959,0.2592440892990267,0.0803381294763035,1.0965749595284882
RR,CDOLS,8,0.7395804893968464,0.2876548812867775,0.1757769220747624,1.3033840567189303
RR,CDOLS,9,0.9026889501847544,0.311305971392785,0.2925292462548959,1.5128486541146131
RR,CDOLS,10,1.085667108078835,0.323047427063462,0.4524941510344494,1.7188400651232203
RR_UNEMP,FE,0,0.0641772119543969,0.0155601413231583,0.0336793349610066,0.0946750889477872
RR_UNEMP,FE,1,0.1543912262539816,0.0288881944963848,0.0977703650410673,0.211012087466896
RR_UNEMP,FE,2,0.2037156347852295,0.0364927601719996,0.1321898248481103,0.2752414447223488
RR_UNEMP,FE,3,0.2471458598306555,0.0479859539499894,0.1530933900886761,0.3411983295726349
