est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode,het_rho,het_beta
CDOLS,0,-0.0004163644059646,0.0137518865986535,0.0108669471741473,0.93,1.0,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,1,-0.0232043425466026,0.0276794236496526,0.0241743993914104,0.6633333333333333,1.0,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,2,-0.0259741901931768,0.0302024723195212,0.0265495036172066,0.6133333333333333,0.9,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,3,-0.026161597215868,0.0302833469683992,0.0267060520603426,0.5633333333333334,0.5366666666666666,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,4,-0.0274073679963337,0.0321246496946718,0.0278874289151338,0.5733333333333334,0.4466666666666666,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,5,-0.0276088910889804,0.0318021552432031,0.0281847093513163,0.52,0.4833333333333333,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,6,-0.0272650962134496,0.0313982260180419,0.0277449891483135,0.5866666666666667,0.4133333333333333,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,7,-0.0279816246848115,0.0323107300011894,0.0286715518800768,0.5333333333333333,0.4666666666666667,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,8,-0.0279656268773272,0.0319822435029967,0.0286356950540291,0.5766666666666667,0.4233333333333333,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,9,-0.0272031398818722,0.0319229830823392,0.0279050459445669,0.5666666666666667,0.4333333333333333,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
CDOLS,10,-0.0269628499458791,0.03185654796637,0.0277106699646445,0.5666666666666667,0.4333333333333333,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
DB,0,-0.0006310306954611,0.0097454567252923,0.0078156119701745,0.9466666666666668,1.0,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
DB,1,-0.0009384698092468,0.0108957307509533,0.008664534133604,0.95,1.0,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
DB,2,0.0011586418820155,0.0113927433552899,0.0091333565718591,0.9533333333333334,0.48,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
DB,3,0.0015804886917876,0.0120771723853067,0.0095015212906969,0.9333333333333332,0.0666666666666666,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
DB,4,0.0005981910543672,0.0119642327361871,0.0095783654674057,0.94,0.05,300,main_N100_T100_rho0.2_xsd0,100,100,0.2,0.0,,,
