app,var,n,mean,sd,min,p50,max
RR,CRISIS,1584,0.715,1.954,0.0,0.0,14.0
RR,f0LNGDP,1728,1296.619,156.74,861.284,1280.016,1662.923
RR_UNEMP,CRISIS,1584,0.715,1.954,0.0,0.0,14.0
RR_UNEMP,f0UNEMP,1518,7.43,4.049,0.207,6.967,27.7
BVX,R_B,3317,0.067,0.25,0.0,0.0,1.0
BVX,R_N,3317,0.071,0.257,0.0,0.0,1.0
BVX,Fd1y,3317,0.033,0.043,-0.265,0.034,0.256
MSV,L0HHD_L1GDP,910,50.168,28.69,0.201,48.717,147.933
MSV,L0NFD_L1GDP,900,82.349,33.449,8.113,79.275,234.623
MSV,F1y,881,2824.195,238.954,2453.436,2781.334,3550.195
CS,CRISIS,5398,0.258,0.438,0.0,0.0,1.0
CS,cf1GRRT_WB,5812,7.49,11.387,-81.3,7.756,151.876
