h,FE,SPJ,HPJ,DB,CDOLS
1,-2.589 (0.324),-2.619 (0.338),-3.737 (0.324),-2.589 (0.324),—
2,-3.385 (0.451),-3.488 (0.474),-3.423 (0.451),-3.385 (0.451),3.073 (0.252)
3,-4.202 (0.546),-4.788 (0.606),-4.094 (0.546),-4.202 (0.546),3.153 (0.243)
4,-4.543 (0.637),-5.485 (0.714),-5.923 (0.637),-4.543 (0.637),3.316 (0.240)
5,-4.581 (0.695),-6.088 (0.778),-4.968 (0.695),-4.581 (0.695),3.372 (0.220)
6,-5.134 (0.725),-7.092 (0.826),-4.353 (0.725),-5.134 (0.725),3.353 (0.234)
7,-4.720 (0.734),-7.396 (0.834),-4.459 (0.734),-4.720 (0.734),3.490 (0.231)
8,-4.613 (0.755),-7.747 (0.876),-3.877 (0.755),-4.613 (0.755),3.365 (0.242)
9,-4.311 (0.781),-7.613 (0.940),-4.774 (0.781),-4.311 (0.781),3.301 (0.205)
10,-4.507 (0.840),-7.893 (1.034),-5.519 (0.840),-4.507 (0.840),3.215 (0.233)
