T,sig_lam,est,bias,rmse,mae,coverage
20,0.0,CDOLS,-0.0368,0.0681,0.0558,0.8352
20,0.0,DB,0.0569,0.0767,0.0692,0.6154
20,0.0,FE,0.115,0.1265,0.1199,0.3737
20,0.0,HPJ,0.1134,0.1654,0.1437,0.2931
20,0.0,SPJ,0.0543,0.0824,0.072,0.7164
20,1.0,CDOLS,-0.0156,0.0922,0.0724,0.6452
20,1.0,DB,0.0713,0.124,0.0984,0.5314
20,1.0,FE,0.1261,0.1541,0.1384,0.4037
20,1.0,HPJ,0.1252,0.1845,0.1577,0.3174
20,1.0,SPJ,0.0688,0.135,0.1114,0.5877
50,0.0,CDOLS,-0.0423,0.0562,0.0488,0.6471
50,0.0,DB,0.0217,0.036,0.0311,0.702
50,0.0,FE,0.0614,0.0688,0.0647,0.4217
50,0.0,HPJ,0.0621,0.0958,0.0822,0.311
50,0.0,SPJ,0.0121,0.0334,0.0273,0.8369
50,1.0,CDOLS,-0.0227,0.0678,0.0532,0.5781
50,1.0,DB,0.0281,0.068,0.0562,0.6395
50,1.0,FE,0.0682,0.0931,0.0813,0.5153
50,1.0,HPJ,0.0688,0.1107,0.0932,0.4375
50,1.0,SPJ,0.0199,0.0789,0.0633,0.6779
100,0.0,CDOLS,-0.0395,0.0475,0.0428,0.5034
100,0.0,DB,0.0069,0.0185,0.0151,0.7955
100,0.0,FE,0.0296,0.0354,0.0324,0.5146
100,0.0,HPJ,0.0293,0.0555,0.0463,0.3539
100,0.0,SPJ,0.0007,0.0182,0.0146,0.8799
100,1.0,CDOLS,-0.0221,0.0498,0.0396,0.5502
100,1.0,DB,0.0102,0.0428,0.0346,0.7466
100,1.0,FE,0.0331,0.0543,0.0456,0.6457
100,1.0,HPJ,0.0313,0.0691,0.0558,0.5558
100,1.0,SPJ,0.0031,0.049,0.0387,0.7594
